Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
09/27/2022,3204114,0.56,1290217,0.56,192275,0.59,176941,0.61,24344,0.82,886658,0.93,6744,0.39
09/28/2022,3712354,0.64,1541900,0.66,201525,0.62,179234,0.62,27423,0.92,930967,0.98,7903,0.46
09/29/2022,3707751,0.64,1503472,0.65,194288,0.59,173138,0.6,26857,0.9,960265,1.01,7738,0.45
09/30/2022,3503239,0.61,1477082,0.64,181549,0.55,164028,0.57,26614,0.9,997765,1.05,6623,0.39
10/01/2022,2032983,0.61,758826,0.55,72081,0.64,80394,0.53,13718,0.78,820869,0.87,1855,0.41
10/02/2022,1621851,0.66,591909,0.59,61918,0.68,68450,0.65,13897,0.76,793492,0.94,1302,0.34
10/03/2022,3370048,0.59,1426633,0.63,173268,0.55,153913,0.53,25390,0.85,880633,0.95,6824,0.38
10/04/2022,3397689,0.59,1354099,0.6,181887,0.58,166868,0.57,25282,0.85,833631,0.9,6825,0.38
10/05/2022,3077346,0.54,1206674,0.54,176091,0.56,158117,0.54,24305,0.82,816200,0.88,6012,0.34
10/06/2022,3848909,0.67,1554806,0.69,203783,0.65,182247,0.63,28527,0.96,981805,1.06,7907,0.44
10/07/2022,3591080,0.62,1480214,0.66,204261,0.65,166955,0.57,26725,0.9,1018633,1.1,6865,0.38
10/08/2022,2397249,0.72,888506,0.64,114687,1.01,110122,0.72,15448,0.87,965140,1.02,1975,0.43
10/09/2022,1917721,0.78,691656,0.69,97984,1.08,88783,0.84,14776,0.8,911141,1.08,2200,0.58
10/10/2022,2556722,0.44,1034288,0.46,163310,0.52,152488,0.52,17806,0.6,845129,0.91,4220,0.24
10/11/2022,3649405,0.63,1521587,0.68,203885,0.65,192887,0.66,26435,0.89,899509,0.97,7841,0.44
10/12/2022,3776129,0.66,1554226,0.69,203866,0.65,185488,0.64,28193,0.95,945786,1.02,7820,0.44
10/13/2022,3682799,0.64,1463795,0.65,195360,0.62,173174,0.6,26422,0.89,935038,1.01,7593,0.43
10/14/2022,3578772,0.62,1468602,0.65,186594,0.59,170188,0.59,26877,0.9,1000719,1.08,6877,0.39
10/15/2022,2363501,0.71,914771,0.66,100804,0.89,108230,0.71,15945,0.9,964859,1.02,1897,0.42
10/16/2022,1773903,0.72,705073,0.7,80395,0.88,85438,0.81,15338,0.84,898969,1.06,1385,0.37
10/17/2022,3314497,0.58,1430672,0.63,182855,0.58,170716,0.59,24045,0.81,860596,0.93,6952,0.39
10/18/2022,3693627,0.64,1510826,0.67,199026,0.63,191540,0.66,26135,0.88,894481,0.96,7917,0.44
10/19/2022,3814404,0.66,1545140,0.69,202921,0.65,185202,0.64,28002,0.94,916246,0.99,7934,0.44
10/20/2022,3810901,0.66,1532692,0.68,201886,0.64,180234,0.62,27649,0.93,970479,1.05,7784,0.44
10/21/2022,3570334,0.62,1452280,0.64,185797,0.59,166539,0.57,26385,0.89,997993,1.08,6848,0.38
10/22/2022,2430406,0.73,916539,0.66,97921,0.86,122863,0.81,15832,0.9,970862,1.03,90,0.02
10/23/2022,1740520,0.71,668183,0.67,76024,0.83,83665,0.8,14434,0.79,872119,1.03,19,0.01
10/24/2022,3357840,0.58,1432728,0.64,182390,0.58,161772,0.56,24643,0.83,887372,0.96,6929,0.39
10/25/2022,3712582,0.65,1512725,0.67,200671,0.64,183507,0.63,27080,0.91,903935,0.97,7864,0.44
10/26/2022,3794534,0.66,1539557,0.68,201843,0.64,181254,0.62,27891,0.94,932571,1,7978,0.45
10/27/2022,3892985,0.68,1543031,0.68,196789,0.63,179032,0.62,28035,0.94,971657,1.05,7848,0.44
10/28/2022,3624748,0.63,1455834,0.65,179633,0.57,159109,0.55,26237,0.88,992291,1.07,6647,0.37
10/29/2022,2440601,0.73,912721,0.66,86888,0.77,102975,0.68,15778,0.89,949043,1,42,0.01
10/30/2022,1875953,0.76,711004,0.71,69358,0.76,80576,0.77,15324,0.83,903170,1.07,5,0
10/31/2022,3410892,0.59,1394453,0.62,177547,0.56,157055,0.54,24178,0.81,862337,0.93,6759,0.38
11/01/2022,3706707,0.66,1501329,0.69,196102,0.6,178425,0.62,26993,0.86,911552,0.97,7756,0.46
11/02/2022,3788123,0.67,1549724,0.71,198277,0.6,181158,0.63,28493,0.91,918835,0.97,7788,0.46
11/03/2022,3802455,0.67,1521975,0.7,197940,0.6,178498,0.62,28364,0.91,941513,1,7676,0.45
11/04/2022,3586358,0.64,1459619,0.67,180084,0.55,161378,0.56,27340,0.88,975347,1.03,6813,0.4
11/05/2022,2449943,0.78,918127,0.7,96845,0.84,110793,0.73,16790,0.99,940206,1.03,2628,0.76
11/06/2022,2116063,0.84,648085,0.65,92648,0.98,94517,0.91,13926,0.74,779295,0.95,3122,1.02
11/07/2022,3456868,0.61,1478731,0.68,190295,0.58,168401,0.59,26193,0.84,901997,0.96,7365,0.43
11/08/2022,3431700,0.61,1356894,0.62,201028,0.61,183142,0.64,25939,0.83,888462,0.94,6463,0.38
11/09/2022,3772030,0.67,1517250,0.69,199030,0.61,180581,0.63,28589,0.92,921392,0.98,7722,0.45
11/10/2022,3802230,0.67,1516812,0.69,203722,0.62,180584,0.63,28385,0.91,976695,1.04,7749,0.46
11/11/2022,2994708,1.19,1077574,1.08,172756,1.83,154511,1.48,20634,0.66,870209,1.06,4558,1.49
11/12/2022,2431419,0.77,893837,0.68,94911,0.82,106101,0.7,15153,0.89,889070,0.98,2262,0.65
11/13/2022,1794024,0.71,662034,0.66,76869,0.81,76460,0.73,15544,0.83,859975,1.04,1658,0.54
11/14/2022,3401075,0.6,1441705,0.66,181582,0.55,165573,0.58,25728,0.82,889804,0.94,7135,0.42
11/15/2022,3713627,0.66,1483782,0.68,196179,0.6,182790,0.64,28155,0.9,903257,0.96,7776,0.46
11/16/2022,3751773,0.67,1484607,0.68,194893,0.59,179233,0.63,28574,0.92,912685,0.97,7589,0.45
11/17/2022,3797815,0.67,1493119,0.68,193797,0.59,178147,0.62,28778,0.92,962670,1.02,7633,0.45
11/18/2022,3539202,0.63,1412974,0.65,183576,0.56,161777,0.57,27236,0.87,981421,1.04,6546,0.38
11/19/2022,2323449,0.74,864766,0.66,97654,0.85,101076,0.67,16076,0.95,929687,1.02,1630,0.47
11/20/2022,1721187,0.68,645986,0.65,74524,0.79,74870,0.72,15556,0.83,830876,1.01,1079,0.35
11/21/2022,3363626,0.6,1393031,0.64,185570,0.57,166517,0.58,25766,0.83,896487,0.95,7017,0.41
11/22/2022,3548882,0.63,1447618,0.66,200264,0.61,183771,0.64,27957,0.9,982740,1.04,7462,0.44
11/23/2022,3263998,0.58,1358016,0.62,210438,0.64,184135,0.64,25032,0.8,983719,1.04,6862,0.4
11/24/2022,1382266,0.55,515903,0.52,90771,0.96,90057,0.86,18369,0.59,859064,1.04,2006,0.65
11/25/2022,2058658,0.82,842892,0.85,163354,1.73,148368,1.43,12834,0.41,766290,0.93,3361,1.1
11/26/2022,1999608,0.63,781665,0.59,105304,0.91,106685,0.71,12576,0.74,852829,0.94,2286,0.66
11/27/2022,1476228,0.59,562073,0.56,79973,0.85,76680,0.74,13063,0.69,814703,0.99,1408,0.46
11/28/2022,3265971,0.58,1397963,0.64,186710,0.57,163694,0.57,24969,0.8,904337,0.96,7120,0.42
11/29/2022,3596894,0.64,1455294,0.66,192494,0.59,181370,0.63,27009,0.87,891057,0.94,7510,0.44
11/30/2022,3568413,0.63,1356729,0.62,189152,0.58,177367,0.62,26469,0.85,857882,0.91,7204,0.42
12/01/2022,3770495,0.71,1459934,0.73,181825,0.58,166856,0.6,27018,0.93,931376,1.05,7538,0.48
12/02/2022,3600504,0.67,1395642,0.7,172860,0.55,152746,0.55,27007,0.93,933219,1.05,6576,0.42
12/03/2022,2291687,0.69,760109,0.6,87730,0.68,89976,0.57,15540,0.9,815868,0.92,1467,0.3
12/04/2022,1990479,0.78,681713,0.7,81381,0.76,80173,0.75,15763,0.88,804122,1.01,1266,0.37
12/05/2022,3481640,0.65,1429308,0.71,183238,0.58,164873,0.59,26409,0.91,873767,0.99,7013,0.45
12/06/2022,3753299,0.7,1414979,0.71,195892,0.62,178862,0.64,27305,0.94,878388,0.99,7447,0.48
12/07/2022,3835333,0.72,1442871,0.72,194436,0.62,178345,0.64,27941,0.96,899007,1.01,7526,0.48
12/08/2022,3931499,0.74,1480877,0.74,192958,0.61,182314,0.65,28292,0.97,948091,1.07,7541,0.48
12/09/2022,3710928,0.69,1386473,0.69,185104,0.59,165147,0.59,26213,0.9,964167,1.09,6379,0.41
12/10/2022,2663493,0.8,869320,0.69,112142,0.88,119858,0.76,16232,0.94,900034,1.02,1873,0.38
12/11/2022,1865579,0.73,618870,0.63,77607,0.73,74273,0.69,14949,0.84,777867,0.98,1103,0.32
12/12/2022,3466978,0.65,1384864,0.69,182973,0.58,163516,0.59,25771,0.88,876300,0.99,6838,0.44
12/13/2022,3763568,0.7,1437228,0.72,197613,0.63,183214,0.66,28234,0.97,908198,1.03,7570,0.49
12/14/2022,3777173,0.71,1435020,0.72,196921,0.62,183484,0.66,29081,1,940858,1.06,7400,0.47
12/15/2022,3726154,0.7,1363160,0.68,191261,0.61,173709,0.62,27034,0.93,931870,1.05,7001,0.45
12/16/2022,3270016,0.61,1221634,0.61,170615,0.54,151244,0.54,24074,0.83,917332,1.04,5823,0.37
12/17/2022,2577771,0.78,884283,0.7,114272,0.89,123286,0.78,16788,0.97,933667,1.06,2071,0.42
12/18/2022,1967199,0.77,668994,0.68,87146,0.82,87425,0.81,16036,0.9,842911,1.06,1487,0.44
12/19/2022,3381411,0.63,1352455,0.68,178278,0.56,159383,0.57,25529,0.88,886717,1,6591,0.42
12/20/2022,3586084,0.67,1398728,0.7,191991,0.61,173346,0.62,27148,0.93,923333,1.04,7046,0.45
12/21/2022,3563236,0.67,1393290,0.7,191684,0.61,168379,0.6,28480,0.98,953676,1.08,6993,0.45
12/22/2022,3187083,0.6,1269330,0.63,177675,0.56,147366,0.53,25244,0.87,936662,1.06,5728,0.37
12/23/2022,2738016,0.51,1057686,0.53,163716,0.52,138857,0.5,20359,0.7,812831,0.92,4523,0.29
12/24/2022,1411469,0.43,497129,0.39,61701,0.48,60373,0.38,12759,0.74,746316,0.84,1304,0.26
12/25/2022,1008452,0.4,321245,0.33,51896,0.49,47454,0.44,13709,0.77,730783,0.92,1005,0.3
12/26/2022,1812842,0.71,644828,0.66,87401,0.82,89137,0.83,9327,0.32,764686,0.96,2214,0.65
12/27/2022,2729514,0.51,1027687,0.51,178880,0.57,156503,0.56,21363,0.73,881989,1,5228,0.34
12/28/2022,2947028,0.55,1088279,0.54,182226,0.58,163499,0.59,23571,0.81,891790,1.01,5407,0.35
12/29/2022,3039432,0.57,1099513,0.55,189075,0.6,167129,0.6,23200,0.8,916565,1.03,5597,0.36
12/30/2022,3063480,0.57,1087122,0.54,193989,0.61,176215,0.63,22951,0.79,926881,1.05,5338,0.34
12/31/2022,1927101,0.58,651474,0.51,81590,0.64,81198,0.52,14090,0.82,686434,0.78,1847,0.37
01/01/2023,1675507,0.8,475226,0.52,67722,0.82,66309,0.73,11476,0.85,737533,1.08,1771,0.65
01/02/2023,1938154,0.93,739507,0.81,76247,0.92,72404,0.8,10136,0.36,692984,1.02,2671,0.98
01/03/2023,3175777,0.62,1268913,0.62,179109,0.59,167136,0.62,24868,0.88,815532,0.94,6853,0.42
01/04/2023,3413052,0.66,1391449,0.68,182834,0.61,170847,0.63,26848,0.95,839120,0.97,7282,0.44
01/05/2023,3428520,0.67,1378698,0.67,175278,0.58,166642,0.62,26808,0.95,859218,0.99,7042,0.43
01/06/2023,3229858,0.63,1319595,0.64,161259,0.53,142525,0.53,25824,0.91,873654,1.01,6050,0.37
01/07/2023,2116138,0.78,806981,0.67,87215,0.9,85244,0.66,14828,1.02,808570,1.06,2297,0.56
01/08/2023,1610764,0.77,628612,0.68,68647,0.83,64894,0.72,15157,1.12,739656,1.08,1529,0.56
01/09/2023,3145743,0.61,1353638,0.66,173594,0.57,157335,0.58,24923,0.88,829372,0.95,6629,0.4
01/10/2023,3469177,0.67,1412543,0.69,196817,0.65,179531,0.67,27309,0.97,859974,0.99,7414,0.45
01/11/2023,3508962,0.68,1421914,0.69,188904,0.63,174350,0.65,27991,0.99,864282,0.99,7166,0.44
01/12/2023,3472709,0.68,1364715,0.67,188850,0.62,168701,0.63,27119,0.96,881579,1.01,7150,0.44
01/13/2023,3270020,0.64,1345748,0.66,167475,0.55,147885,0.55,26085,0.92,922864,1.06,6042,0.37
01/14/2023,2072387,0.77,785952,0.66,84718,0.87,83565,0.64,15407,1.06,817979,1.07,2059,0.5
01/15/2023,1705804,0.82,621041,0.68,72479,0.88,70493,0.78,15198,1.13,757778,1.11,1510,0.55
01/16/2023,2172218,1.04,884152,0.96,82416,1,75892,0.84,14617,0.52,812347,1.19,3140,1.15
01/17/2023,3451604,0.67,1399573,0.68,193345,0.64,183675,0.68,27214,0.96,870650,1,7492,0.46
01/18/2023,3603344,0.7,1449590,0.71,198264,0.66,182209,0.68,29223,1.03,877542,1.01,7488,0.46
01/19/2023,3492226,0.68,1327804,0.65,179752,0.59,170122,0.63,26737,0.95,862336,0.99,6925,0.42
01/20/2023,3375887,0.66,1383181,0.68,173943,0.58,150003,0.56,26548,0.94,915022,1.05,6192,0.38
01/21/2023,2137169,0.79,823236,0.69,88435,0.91,84763,0.65,15580,1.07,826850,1.08,2058,0.5
01/22/2023,1593386,0.76,611151,0.67,64883,0.78,61728,0.68,14721,1.09,744230,1.09,1479,0.54
01/23/2023,3135214,0.61,1281037,0.63,172927,0.57,155439,0.58,25087,0.89,809261,0.93,6210,0.38
01/24/2023,3566756,0.69,1410676,0.69,196319,0.65,182127,0.68,27701,0.98,863886,0.99,7335,0.45
01/25/2023,3511071,0.68,1342717,0.66,188247,0.62,171748,0.64,26738,0.95,815210,0.94,6937,0.42
01/26/2023,3629029,0.71,1408545,0.69,190219,0.63,173696,0.65,27061,0.96,890830,1.03,7093,0.43
01/27/2023,3335372,0.65,1341589,0.66,178881,0.59,149763,0.56,26826,0.95,920095,1.06,6051,0.37
01/28/2023,2248107,0.83,861680,0.72,98609,1.01,89845,0.69,15577,1.07,841863,1.1,2333,0.57
01/29/2023,1637398,0.78,647923,0.71,73109,0.88,65422,0.72,15371,1.14,764625,1.12,1694,0.62
01/30/2023,3223530,0.63,1371537,0.67,180476,0.6,159176,0.59,25676,0.91,850406,0.98,6624,0.4
01/31/2023,3654404,0.71,1365926,0.67,198755,0.66,183485,0.68,27308,0.97,852930,0.98,7593,0.46
02/01/2023,3682758,0.68,1460146,0.68,184043,0.61,169846,0.63,28492,0.97,868518,0.98,7588,0.47
02/02/2023,3699932,0.68,1478477,0.69,187799,0.62,169864,0.63,27917,0.95,894790,1.01,7457,0.46
02/03/2023,3189550,0.59,1246821,0.58,158579,0.52,135908,0.5,26238,0.89,887417,1,5819,0.36
02/04/2023,1742435,0.61,598818,0.47,69433,0.74,64032,0.49,13439,0.83,737000,0.89,1555,0.36
02/05/2023,1625375,0.74,650623,0.67,69379,0.89,62640,0.69,15413,0.91,758529,1.01,1522,0.54
02/06/2023,3372445,0.62,1431232,0.67,181320,0.6,157813,0.59,26639,0.91,849008,0.96,7068,0.44
02/07/2023,3738539,0.69,1491417,0.69,201438,0.67,183389,0.68,28688,0.97,867827,0.98,7736,0.48
02/08/2023,3780682,0.7,1513135,0.7,197370,0.65,180852,0.67,29653,1.01,884755,1,7647,0.47
02/09/2023,3754859,0.69,1462622,0.68,193326,0.64,172508,0.64,28515,0.97,909007,1.03,7403,0.46
02/10/2023,3539529,0.65,1422781,0.66,179637,0.59,154760,0.57,28094,0.95,947991,1.07,6477,0.4
02/11/2023,2333625,0.81,865782,0.68,94434,1.01,88281,0.67,16638,1.02,865505,1.04,1615,0.38
02/12/2023,1746099,0.8,659496,0.68,67457,0.86,63383,0.69,16305,0.97,749533,0.99,1227,0.44
02/13/2023,3303337,0.61,1381524,0.64,180002,0.59,159742,0.59,25900,0.88,854394,0.97,6188,0.38
02/14/2023,3812943,0.7,1480867,0.69,200327,0.66,179811,0.67,29001,0.99,897813,1.02,7557,0.47
02/15/2023,3762817,0.69,1499155,0.7,197344,0.65,181992,0.68,29119,0.99,904926,1.02,7491,0.46
02/16/2023,3683782,0.68,1461093,0.68,189802,0.63,172190,0.64,28364,0.96,915758,1.04,7318,0.45
02/17/2023,3253165,0.6,1315466,0.61,172113,0.57,150151,0.56,26759,0.91,936689,1.06,5892,0.36
02/18/2023,2271106,0.79,822505,0.65,91478,0.98,93213,0.71,15612,0.96,860646,1.03,1266,0.3
02/19/2023,1824136,0.83,639980,0.66,75448,0.97,75064,0.82,16165,0.96,784650,1.04,959,0.34
02/20/2023,2238557,1.02,929439,0.95,90371,1.16,79984,0.88,14818,0.5,809578,1.07,1547,0.55
02/21/2023,3325542,0.61,1273578,0.59,194967,0.64,174283,0.65,27224,0.93,864047,0.98,6525,0.4
02/22/2023,3454362,0.64,1305744,0.61,193753,0.64,171187,0.64,27895,0.95,869960,0.98,6538,0.4
02/23/2023,3498367,0.64,1328927,0.62,188438,0.62,167193,0.62,27336,0.93,906322,1.03,6695,0.41
02/24/2023,3246699,0.6,1246797,0.58,179793,0.59,153058,0.57,26077,0.89,928057,1.05,5551,0.34
02/25/2023,2043635,0.71,800947,0.63,86403,0.92,81742,0.62,15461,0.95,831613,1,1396,0.33
02/26/2023,1625191,0.74,676041,0.69,74226,0.95,67702,0.74,15891,0.94,807475,1.07,1095,0.39
02/27/2023,3337916,0.62,1423292,0.66,180277,0.6,160346,0.6,26730,0.91,854625,0.97,6752,0.42
02/28/2023,3412079,0.63,1349173,0.63,177532,0.59,139326,0.52,26116,0.89,751643,0.85,6690,0.41
03/01/2023,3780713,0.68,1511792,0.67,192142,0.61,176661,0.64,29449,0.99,901530,0.98,7403,0.46
03/02/2023,3765925,0.68,1493623,0.67,195243,0.62,176678,0.64,28978,0.97,934427,1.01,7434,0.47
03/03/2023,3481830,0.63,1417670,0.63,172623,0.55,150603,0.55,27298,0.92,933992,1.01,6167,0.39
03/04/2023,2173217,0.71,870341,0.65,96720,0.9,84352,0.62,16263,0.96,844751,0.97,1449,0.29
03/05/2023,1772121,0.77,712408,0.72,81079,0.93,72918,0.77,16956,0.96,831376,1.03,1215,0.39
03/06/2023,3427019,0.62,1460599,0.65,185896,0.59,163314,0.59,27550,0.93,875696,0.95,6849,0.43
03/07/2023,3773780,0.68,1490272,0.66,205559,0.66,186615,0.68,28417,0.96,887227,0.96,7607,0.48
03/08/2023,3842861,0.69,1514182,0.68,203258,0.65,186940,0.68,30476,1.02,918426,1,7452,0.47
03/09/2023,3827656,0.69,1515155,0.68,201711,0.64,186197,0.68,29847,1,944406,1.02,7211,0.45
03/10/2023,3502339,0.63,1408909,0.63,182873,0.58,160551,0.58,28209,0.95,964271,1.05,6135,0.38
03/11/2023,2230530,0.73,821990,0.62,78979,0.73,88667,0.65,15493,0.91,842108,0.97,1796,0.35
03/12/2023,1773585,0.77,686039,0.69,75970,0.88,70404,0.75,16644,0.94,832873,1.03,1547,0.49
03/13/2023,3352388,0.6,1377045,0.61,179787,0.57,157311,0.57,26027,0.88,852961,0.93,6358,0.4
03/14/2023,3577250,0.64,1360497,0.61,189402,0.6,159031,0.58,26262,0.88,775384,0.84,6866,0.43
03/15/2023,3912366,0.7,1493605,0.67,205092,0.65,187128,0.68,29687,1,916918,1,7473,0.47
03/16/2023,3949788,0.71,1522248,0.68,209838,0.67,187573,0.68,30151,1.01,976134,1.06,7562,0.47
03/17/2023,3661519,0.66,1408472,0.63,199191,0.64,171443,0.62,28094,0.94,965113,1.05,6790,0.43
03/18/2023,2417873,0.79,921569,0.69,102021,0.95,101788,0.75,16828,0.99,924274,1.06,1839,0.36
03/19/2023,1894476,0.83,661736,0.67,82032,0.95,72936,0.77,16471,0.93,880371,1.09,1247,0.4
03/20/2023,3442589,0.62,1444823,0.64,191367,0.61,167256,0.61,26951,0.91,896248,0.97,6895,0.43
03/21/2023,3801084,0.68,1511670,0.67,213026,0.68,189925,0.69,29466,0.99,918684,1,7850,0.49
03/22/2023,3797399,0.68,1509096,0.67,202826,0.65,184321,0.67,29999,1.01,920292,1,7589,0.48
03/23/2023,3774396,0.68,1466839,0.65,200870,0.64,177877,0.65,29189,0.98,934634,1.01,7208,0.45
03/24/2023,3534300,0.63,1420346,0.63,188352,0.6,159574,0.58,27883,0.94,959147,1.04,6133,0.38
03/25/2023,2153554,0.7,784068,0.59,89101,0.83,82702,0.61,15556,0.92,830547,0.95,1765,0.35
03/26/2023,1939984,0.85,724870,0.73,83054,0.96,81820,0.87,16878,0.96,871824,1.08,1648,0.52
03/27/2023,3397258,0.61,1426226,0.64,192461,0.61,166543,0.6,26394,0.89,885237,0.96,6675,0.42
03/28/2023,3765920,0.68,1490842,0.67,207837,0.66,189294,0.69,28923,0.97,894984,0.97,7541,0.47
03/29/2023,3872948,0.7,1521968,0.68,208736,0.67,187520,0.68,29771,1,922903,1,7825,0.49
03/30/2023,3860289,0.69,1486845,0.66,200601,0.64,187344,0.68,29363,0.99,957635,1.04,7512,0.47
03/31/2023,3573735,0.64,1423686,0.64,184342,0.59,158880,0.58,28599,0.96,977962,1.06,6426,0.4
04/01/2023,2283533,0.72,842213,0.63,82140,0.72,88096,0.59,16428,0.98,856286,0.94,1520,0.3
04/02/2023,1949665,0.8,716880,0.72,76059,0.83,79027,0.77,17660,0.95,855422,0.99,1319,0.4
04/03/2023,3597785,0.65,1475017,0.67,182947,0.59,162370,0.57,27387,0.95,899177,0.96,7076,0.44
04/04/2023,3906882,0.7,1519740,0.7,200063,0.64,188769,0.66,29698,1.03,913561,0.97,7633,0.47
04/05/2023,3799965,0.68,1432322,0.66,205060,0.66,185283,0.65,29462,1.02,938533,1,7163,0.44
04/06/2023,3421271,0.61,1264311,0.58,193340,0.62,169192,0.59,27061,0.94,914933,0.97,6122,0.38
04/07/2023,3130675,0.56,1150222,0.53,187800,0.6,159263,0.56,23831,0.82,900772,0.96,4925,0.3
04/08/2023,2393347,0.76,882727,0.66,108740,0.95,99274,0.67,16256,0.97,872566,0.96,2393,0.47
04/09/2023,1855826,0.76,654259,0.66,98030,1.07,85620,0.83,19026,1.02,904505,1.04,1916,0.59
04/10/2023,3142740,0.56,1236634,0.57,191412,0.62,170713,0.6,24135,0.83,922582,0.98,6121,0.38
04/11/2023,3537843,0.63,1316710,0.6,210828,0.68,193831,0.68,27777,0.96,895251,0.95,7081,0.44
04/12/2023,3576687,0.64,1311418,0.6,207802,0.67,191574,0.67,28326,0.98,890891,0.95,6863,0.42
04/13/2023,3628304,0.65,1311906,0.6,200072,0.64,183658,0.64,28451,0.98,939226,1,6668,0.41
04/14/2023,3471420,0.62,1294357,0.59,190858,0.61,173790,0.61,27514,0.95,989052,1.05,5869,0.36
04/15/2023,2365464,0.75,890050,0.67,99793,0.87,103902,0.7,16804,1.01,916008,1,1743,0.34
04/16/2023,1864753,0.77,728462,0.73,80318,0.88,85026,0.83,16835,0.9,881923,1.02,1309,0.4
04/17/2023,3418834,0.61,1438043,0.66,188445,0.61,167759,0.58,27611,0.95,897271,0.95,6926,0.43
04/18/2023,3862133,0.69,1526133,0.7,207882,0.67,194549,0.68,29658,1.03,929653,0.99,7879,0.49
04/19/2023,3927706,0.7,1530452,0.7,206116,0.66,195086,0.68,30829,1.07,952981,1.01,7889,0.49
04/20/2023,4002433,0.72,1520258,0.7,208664,0.67,189699,0.66,30106,1.04,1014633,1.08,7577,0.47
04/21/2023,3492257,0.63,1310737,0.6,195442,0.63,174727,0.61,27777,0.96,994549,1.06,6005,0.37
04/22/2023,2506140,0.79,893014,0.67,106134,0.93,106032,0.71,16865,1.01,931077,1.02,1715,0.34
04/23/2023,1923243,0.79,673668,0.68,87793,0.96,79003,0.77,15947,0.85,880726,1.02,1326,0.41
04/24/2023,3561262,0.64,1466762,0.67,196593,0.63,173997,0.61,27254,0.94,911973,0.97,7020,0.43
04/25/2023,3956922,0.71,1529162,0.7,216767,0.7,192115,0.67,29504,1.02,927611,0.99,7806,0.48
04/26/2023,3994837,0.72,1531476,0.7,216097,0.7,191886,0.67,30191,1.04,947254,1.01,7758,0.48
04/27/2023,3999831,0.72,1506783,0.69,216674,0.7,184365,0.64,29969,1.04,981809,1.04,7564,0.47
04/28/2023,3703088,0.66,1424078,0.65,195436,0.63,160861,0.56,28306,0.98,996548,1.06,6441,0.4
04/29/2023,2179978,0.69,715608,0.54,85167,0.75,77009,0.52,15688,0.94,832504,0.91,1871,0.37
04/30/2023,1744098,0.72,578075,0.58,75065,0.82,65334,0.63,15451,0.83,786171,0.91,1355,0.42
05/01/2023,3664755,0.64,1465598,0.64,188566,0.59,167178,0.58,27445,0.93,922971,0.96,6960,0.4
05/02/2023,3961858,0.69,1498566,0.66,211550,0.66,197217,0.69,29472,1,916459,0.95,7749,0.45
05/03/2023,4030601,0.7,1533714,0.67,209450,0.66,195363,0.68,30850,1.05,940822,0.98,7862,0.45
05/04/2023,3985001,0.7,1497427,0.66,206323,0.65,189539,0.66,30449,1.04,966836,1,7417,0.43
05/05/2023,3759375,0.66,1450598,0.64,200675,0.63,170610,0.6,28952,0.98,1011491,1.05,6514,0.37
05/06/2023,2563102,0.8,934630,0.67,111525,0.94,103318,0.69,18349,1.06,976630,1.02,2584,0.53
05/07/2023,2033790,0.85,705419,0.73,92076,0.94,83008,0.8,17822,1.05,902067,1.06,2705,0.77
05/08/2023,3563340,0.62,1460932,0.64,198056,0.62,180789,0.63,27771,0.94,935045,0.97,7196,0.41
05/09/2023,3925555,0.69,1524892,0.67,221290,0.69,205069,0.72,29923,1.02,955033,0.99,7827,0.45
05/10/2023,4014009,0.7,1528140,0.67,221747,0.69,203414,0.71,31360,1.07,981586,1.02,7998,0.46
05/11/2023,4015942,0.7,1535264,0.67,210683,0.66,201006,0.7,30899,1.05,1016578,1.06,7619,0.44
05/12/2023,3723192,0.65,1436385,0.63,201367,0.63,185027,0.65,29397,1,1043802,1.08,6629,0.38
05/13/2023,2487178,0.77,918257,0.66,113810,0.96,109941,0.73,18340,1.06,1008311,1.05,1973,0.41
05/14/2023,1926966,0.81,690606,0.72,102178,1.05,101089,0.97,20222,1.19,981015,1.15,1654,0.47
05/15/2023,3553443,0.62,1440741,0.63,201209,0.63,184909,0.65,25892,0.88,947897,0.98,6956,0.4
05/16/2023,4002015,0.7,1519397,0.67,227489,0.71,207484,0.72,29747,1.01,965091,1,7930,0.46
05/17/2023,4104786,0.72,1518546,0.67,223059,0.7,206630,0.72,30423,1.03,985531,1.02,7118,0.41
05/18/2023,4082154,0.71,1492657,0.66,218955,0.69,198433,0.69,29842,1.01,1008886,1.05,7530,0.43
05/19/2023,3789929,0.66,1431269,0.63,208310,0.65,181114,0.63,28381,0.97,1024064,1.06,6362,0.37
05/20/2023,2314672,0.72,760830,0.55,102957,0.87,95626,0.63,16570,0.96,888784,0.93,1970,0.41
05/21/2023,2132724,0.89,727850,0.76,103484,1.06,91336,0.88,17545,1.03,959948,1.13,1919,0.55
05/22/2023,3571748,0.62,1446015,0.64,203122,0.64,186008,0.65,27038,0.92,942741,0.98,6935,0.4
